timestamp,open,high,low,close,volume
2023-11-02,27.0700,27.1600,26.9800,27.0600,4419
2023-11-01,26.3900,26.5800,26.3700,26.5800,1912
2023-10-31,26.2800,26.4300,26.1906,26.3200,4115
2023-10-30,26.2600,26.3500,26.1800,26.3500,5766
2023-10-27,26.2600,26.2600,25.8990,25.9300,3258
2023-10-26,26.1400,26.2700,26.0000,26.0600,4750
2023-10-25,26.4200,26.4785,26.3000,26.3300,6569
2023-10-24,26.4400,26.4700,26.3959,26.4700,847
2023-10-23,26.1800,26.5640,26.1000,26.4500,30038
2023-10-20,26.4200,26.4400,26.2600,26.2800,9338
2023-10-19,26.7200,26.7800,26.6200,26.6500,5677
2023-10-18,26.7500,26.8100,26.5700,26.5700,9556
2023-10-17,26.8700,27.2050,26.8700,27.1100,2949
2023-10-16,26.9000,27.1000,26.9000,27.1000,8418
2023-10-13,26.9800,26.9800,26.7100,26.7600,9239
2023-10-12,27.5100,27.5600,27.1500,27.1500,3736
2023-10-11,27.5300,27.5500,27.4400,27.5100,9697
2023-10-10,27.0200,27.4400,27.0200,27.4400,8582
2023-10-09,26.7800,26.9700,26.7200,26.9700,3013
2023-10-06,26.6800,27.2200,26.6300,27.1200,4561
2023-10-05,26.7100,26.7700,26.6100,26.7700,3002
2023-10-04,26.7100,26.7500,26.5041,26.7500,3984
2023-10-03,26.5700,26.6600,26.4400,26.4700,13769
2023-10-02,27.0400,27.0400,26.7600,26.8000,11405
2023-09-29,27.4900,27.5590,27.1800,27.1800,5038
2023-09-28,27.1814,27.2350,27.1100,27.2300,4686
2023-09-27,26.9400,26.9400,26.6300,26.8800,10686
2023-09-26,27.1100,27.1400,26.9016,26.9900,11307
2023-09-25,27.3500,27.3900,27.2300,27.3700,5297
2023-09-22,27.8000,27.8500,27.6600,27.7300,35397
2023-09-21,27.8900,27.9000,27.7400,27.7400,13200
2023-09-20,28.3200,28.4200,28.0500,28.0500,3904
2023-09-19,28.1300,28.1300,28.0200,28.1200,5291
2023-09-18,28.0800,28.2400,28.0800,28.2000,14696
2023-09-15,28.4300,28.4900,28.3350,28.3350,3240
2023-09-14,28.1900,28.3460,28.1800,28.3000,6157
2023-09-13,28.0757,28.2600,28.0600,28.1000,4093
2023-09-12,28.2200,28.3360,28.2200,28.2200,4660
2023-09-11,28.4500,28.5000,28.3700,28.4900,1832
2023-09-08,28.2100,28.3100,28.1900,28.2000,1328
2023-09-07,28.2300,28.2400,28.0915,28.2300,15590
2023-09-06,28.3900,28.3900,28.2300,28.3500,3225
2023-09-05,28.6100,28.6100,28.2900,28.3000,7092
2023-09-01,29.0100,29.0100,28.6300,28.7200,3455
2023-08-31,29.1591,29.1600,28.9300,28.9800,3577
2023-08-30,29.1900,29.2090,29.0300,29.1600,3055
2023-08-29,28.6800,29.1500,28.6800,29.1500,5264
2023-08-28,28.5900,28.7381,28.5900,28.7381,3056
2023-08-25,28.4200,28.4300,28.2600,28.4300,4324
2023-08-24,28.4200,28.4200,28.2400,28.2400,2225
2023-08-23,28.5400,28.6700,28.5000,28.6500,27248
2023-08-22,28.6900,28.6900,28.5101,28.5800,5936
2023-08-21,28.5250,28.6800,28.4210,28.6000,1823
2023-08-18,28.2200,28.4600,28.1600,28.3900,3804
2023-08-17,28.7600,28.7600,28.4000,28.5300,9333
2023-08-16,28.7900,28.8578,28.6300,28.6300,3090
2023-08-15,28.8377,28.8377,28.7500,28.7500,1043
2023-08-14,28.9900,29.1500,28.9500,29.1500,4684
2023-08-11,29.1700,29.1750,29.0439,29.0700,3709
2023-08-10,29.5300,29.6500,29.3100,29.3100,4163
2023-08-09,29.1700,29.3500,29.1700,29.1900,3815
2023-08-08,29.0100,29.1450,28.8900,29.1450,9744
2023-08-07,29.3700,29.5000,29.2800,29.5000,4229
2023-08-04,29.2600,29.5500,29.1500,29.1700,43196
2023-08-03,29.0800,29.2345,29.0300,29.2300,28081
2023-08-02,29.6900,29.6900,29.2550,29.3000,57711
2023-08-01,30.0800,30.0800,29.8001,29.9900,3739
2023-07-31,30.5300,30.6242,30.3500,30.4100,14307
2023-07-28,30.2700,30.5200,30.2700,30.4900,4527
2023-07-27,30.2800,30.3290,30.0000,30.0000,10754
2023-07-26,29.7100,30.0800,29.7100,30.0800,1874
2023-07-25,29.9900,30.1000,29.9300,30.1000,14649
2023-07-24,30.0100,30.1300,29.9650,29.9700,7410
2023-07-21,30.0535,30.2200,30.0535,30.1500,4463
2023-07-20,30.3000,30.3000,30.0283,30.1500,6592
2023-07-19,30.3200,30.4000,30.2133,30.3200,5967
2023-07-18,30.3000,30.4100,30.2901,30.4100,26132
2023-07-17,30.1700,30.4300,30.1200,30.4300,2903
2023-07-14,30.3100,30.3100,30.3100,30.3100,218
2023-07-13,30.3900,30.4600,30.3500,30.4600,4895
2023-07-12,29.7700,30.0111,29.7700,30.0000,6355
2023-07-11,29.0900,29.2500,29.0800,29.2400,7726
2023-07-10,28.8200,29.0136,28.7900,28.9300,22298
2023-07-07,28.5850,28.8400,28.5850,28.8300,3646
2023-07-06,28.6300,28.6300,28.2750,28.4600,43012
2023-07-05,29.2800,29.2800,28.9401,29.0600,6129
2023-07-03,29.5200,29.5250,29.4200,29.5250,2405
2023-06-30,29.5800,29.6608,29.4800,29.6100,4480
2023-06-29,29.1400,29.2750,28.9362,29.1900,17695
2023-06-28,29.9200,30.0700,29.7350,30.0700,20485
2023-06-27,29.7300,30.0119,29.7001,29.8300,5118
2023-06-26,29.6700,29.8150,29.4003,29.6700,3953
2023-06-23,29.3893,29.7999,29.3893,29.6900,23162
2023-06-22,29.9800,30.2500,29.6200,30.1400,10957
2023-06-21,30.0600,30.4642,30.0600,30.1600,4780
2023-06-20,30.5000,30.5496,30.1700,30.3700,43262
2023-06-16,30.7700,30.8900,30.4001,30.7500,3717
2023-06-15,30.3000,30.8067,30.2600,30.6100,11822
2023-06-14,30.2400,30.4499,30.1600,30.1600,8855
2023-06-13,30.0400,30.1822,29.9200,30.0600,15210
